Exp. Date,Calls_Last,Calls_Change,Calls_Bid,Calls_Ask ,Calls_Vol,Calls_OpenInt,Strike,Puts_Last,Puts_Change,Puts_Bid,Puts_Ask,Puts_Vol,Puts_OpenInt
11/1/2024,185.20,,175.80,178.75,,3.00,230.00,0.01,,,0.01,,36.00
11/1/2024,170.40,-21.49 ,165.80,168.75,1.00,4.00,240.00,0.01,,,0.01,,46.00
11/1/2024,158.85,-18.90 ,155.80,158.65,100.00,60.00,250.00,,,,0.18,,
11/1/2024,167.82,,145.80,148.75,,11.00,260.00,,,,0.37,,
11/1/2024,152.94,,135.80,138.75,,1.00,270.00,0.02,,,0.48,,3.00
11/1/2024,135.50,,125.75,128.75,,13.00,280.00,0.02,,,0.12,,16.00
11/1/2024,,,120.75,123.75,,,285.00,0.04,,,0.97,,22.00
11/1/2024,,,115.75,118.70,,,290.00,0.08,,,1.00,,103.00
11/1/2024,,,110.75,113.65,,,295.00,0.02,,,0.82,,230.00
11/1/2024,110.37,-21.63 ,105.75,108.75,2.00,18.00,300.00,0.01,,,0.01,1.00,208.00
11/1/2024,,,100.75,103.75,,,305.00,0.01,,,0.52,,53.00
11/1/2024,120.33,,95.75,98.80,,28.00,310.00,0.01,,,0.01,,140.00
11/1/2024,,,90.75,93.80,,,315.00,0.01,,,0.01,,179.00
11/1/2024,111.52,,85.75,88.70,,1.00,320.00,0.02,,,0.01,,646.00
11/1/2024,111.00,,80.75,83.80,,1.00,325.00,0.01,,,0.01,,228.00
11/1/2024,106.00,,75.85,78.80,,5.00,330.00,0.07,0.06 ,,0.01,1.00,604.00
11/1/2024,76.75,-23.15 ,70.85,73.60,1.00,1.00,335.00,0.01,,,2.13,,370.00
11/1/2024,88.02,,65.80,68.85,,3.00,340.00,0.01,-0.01 ,,0.90,102.00,463.00
11/1/2024,88.08,,60.80,63.70,,30.00,345.00,0.01,,,0.01,1.00,730.00
11/1/2024,59.54,-23.46 ,55.80,58.60,1.00,150.00,350.00,0.01,-0.01 ,,0.01,212.00,2825.00
11/1/2024,75.23,,50.80,53.80,,16.00,355.00,0.01,-0.02 ,0.01,0.43,40.00,1760.00
11/1/2024,67.97,,48.30,51.30,,3.00,357.50,0.01,-0.01 ,,0.05,46.00,123.00
11/1/2024,69.70,,45.80,48.60,,15.00,360.00,0.01,-0.02 ,0.01,0.10,449.00,3340.00
11/1/2024,49.85,,43.30,46.20,1.00,,362.50,0.02,-0.03 ,,0.10,97.00,197.00
11/1/2024,44.85,-23.50 ,40.90,43.55,20.00,31.00,365.00,0.01,-0.05 ,,0.02,604.00,1317.00
11/1/2024,50.20,,38.35,41.10,,1.00,367.50,0.02,-0.02 ,,0.65,155.00,553.00
11/1/2024,39.78,-24.82 ,35.80,38.80,5.00,27.00,370.00,0.02,-0.03 ,0.02,0.10,1246.00,2423.00
11/1/2024,64.80,,33.30,36.35,,7.00,372.50,0.01,-0.07 ,,0.25,457.00,73.00
11/1/2024,32.50,-29.20 ,30.90,33.75,4.00,20.00,375.00,0.05,-0.05 ,0.02,0.05,1433.00,1954.00
11/1/2024,32.87,-19.03 ,28.35,31.25,2.00,5.00,377.50,0.03,-0.09 ,0.03,0.07,1426.00,767.00
11/1/2024,29.32,-26.38 ,25.95,28.20,56.00,89.00,380.00,0.04,-0.08 ,0.02,0.06,2013.00,3062.00
11/1/2024,27.00,-27.30 ,23.55,26.30,15.00,7.00,382.50,0.05,-0.09 ,0.04,0.12,1352.00,298.00
11/1/2024,25.60,-23.90 ,20.90,23.80,13.00,43.00,385.00,0.09,-0.09 ,0.05,0.10,3486.00,2486.00
11/1/2024,20.95,-26.86 ,18.90,21.25,14.00,27.00,387.50,0.12,-0.07 ,0.09,0.13,1112.00,1117.00
11/1/2024,17.50,-27.95 ,16.15,18.30,143.00,272.00,390.00,0.15,-0.13 ,0.15,0.21,8986.00,5626.00
11/1/2024,15.65,-28.35 ,13.70,16.45,25.00,52.00,392.50,0.24,-0.12 ,0.18,0.27,1977.00,939.00
11/1/2024,15.80,-25.20 ,11.30,14.05,107.00,119.00,395.00,0.33,-0.16 ,0.30,0.35,8337.00,4870.00
11/1/2024,10.60,-27.29 ,9.25,10.45,158.00,121.00,397.50,0.55,-0.06 ,0.49,0.62,4810.00,1556.00
11/1/2024,8.24,-25.62 ,7.00,8.20,2112.00,934.00,400.00,0.89,0.24 ,0.86,0.96,19316.00,9251.00
11/1/2024,5.60,-25.90 ,5.05,5.85,728.00,411.00,402.50,1.44,0.59 ,1.26,1.59,7876.00,954.00
11/1/2024,4.00,-25.25 ,4.00,4.20,3526.00,352.00,405.00,2.34,1.20 ,2.29,2.48,16503.00,6619.00
11/1/2024,2.79,-25.97 ,2.61,3.50,7429.00,62.00,407.50,3.55,2.16 ,3.45,3.70,11846.00,2814.00
11/1/2024,1.75,-22.80 ,1.70,1.75,27655.00,1468.00,410.00,4.86,3.10 ,4.80,5.25,15124.00,6942.00
11/1/2024,1.11,-21.54 ,1.00,1.14,17760.00,172.00,412.50,6.55,4.35 ,6.55,7.10,5043.00,2743.00
11/1/2024,0.64,-19.76 ,0.60,0.70,19680.00,1320.00,415.00,8.96,6.21 ,8.40,9.80,5837.00,5861.00
11/1/2024,0.42,-18.53 ,0.36,0.43,10868.00,734.00,417.50,10.80,7.37 ,9.15,12.20,1451.00,2758.00
11/1/2024,0.24,-17.76 ,0.22,0.26,17150.00,2155.00,420.00,12.93,8.93 ,13.00,14.00,3515.00,4660.00
11/1/2024,0.17,-15.53 ,0.13,0.17,5277.00,742.00,422.50,14.83,9.83 ,15.45,16.50,6399.00,6719.00
11/1/2024,0.10,-14.65 ,0.09,0.12,6053.00,2486.00,425.00,17.15,11.15 ,17.75,18.85,2429.00,4402.00
11/1/2024,0.09,-12.81 ,0.05,0.12,4273.00,1637.00,427.50,20.48,13.51 ,20.20,22.00,559.00,2139.00
11/1/2024,0.07,-11.78 ,0.05,0.07,4506.00,6428.00,430.00,22.81,14.46 ,22.90,24.10,1792.00,3420.00
11/1/2024,0.05,-10.55 ,0.04,0.06,1884.00,1738.00,432.50,25.36,15.99 ,25.20,26.30,674.00,1060.00
11/1/2024,0.05,-9.10 ,0.04,0.05,5180.00,7671.00,435.00,28.55,17.70 ,27.80,28.80,1963.00,2389.00
11/1/2024,0.05,-8.05 ,0.03,0.05,1676.00,4116.00,437.50,26.35,13.75 ,30.20,31.95,564.00,857.00
11/1/2024,0.02,-7.38 ,0.02,0.05,9419.00,11143.00,440.00,30.43,16.20 ,32.85,34.40,2606.00,798.00
11/1/2024,0.02,-6.18 ,0.01,0.04,1298.00,2053.00,442.50,34.70,19.45 ,34.00,36.90,303.00,100.00
11/1/2024,0.03,-5.54 ,0.01,0.04,4545.00,8256.00,445.00,37.87,20.50 ,36.75,38.65,1656.00,339.00
11/1/2024,0.02,-4.67 ,0.01,0.04,5810.00,2481.00,447.50,36.90,17.93 ,39.00,41.80,207.00,43.00
11/1/2024,0.01,-3.98 ,0.01,0.03,9480.00,14393.00,450.00,40.59,20.01 ,41.50,44.35,1435.00,287.00
11/1/2024,0.01,-3.19 ,,0.02,1536.00,3651.00,452.50,44.55,22.04 ,43.90,46.85,85.00,54.00
11/1/2024,0.02,-2.79 ,,0.02,2394.00,6476.00,455.00,47.87,23.75 ,46.75,49.35,788.00,222.00
11/1/2024,0.02,-2.26 ,,0.01,766.00,2243.00,457.50,49.90,23.25 ,48.85,51.85,271.00,54.00
11/1/2024,0.01,-1.94 ,,0.01,3279.00,12031.00,460.00,50.90,22.30 ,51.35,54.35,504.00,136.00
11/1/2024,0.01,-1.60 ,,0.01,400.00,1938.00,462.50,53.11,24.56 ,53.90,56.70,7.00,7.00
11/1/2024,0.01,-1.26 ,,0.01,1836.00,6520.00,465.00,55.54,23.79 ,56.35,59.35,726.00,101.00
11/1/2024,0.01,-1.04 ,,0.01,253.00,2590.00,467.50,30.89,,58.85,61.60,,5.00
11/1/2024,0.03,-0.81 ,,0.01,1494.00,5599.00,470.00,61.95,25.71 ,61.50,64.35,153.00,31.00
11/1/2024,0.01,-0.70 ,,0.01,306.00,1044.00,472.50,,,64.15,66.85,,
11/1/2024,0.01,-0.57 ,,0.01,495.00,5350.00,475.00,67.05,26.35 ,66.60,69.25,21.00,10.00
11/1/2024,0.01,-0.54 ,,0.01,343.00,911.00,477.50,,,69.05,71.85,,
11/1/2024,0.01,-0.37 ,,0.01,1296.00,4357.00,480.00,68.65,17.40 ,71.55,74.25,2.00,2.00
11/1/2024,0.01,-0.26 ,,0.01,997.00,950.00,482.50,75.45,28.49 ,74.00,76.85,1.00,1.00
11/1/2024,0.01,-0.22 ,,0.01,428.00,2182.00,485.00,48.75,,76.50,79.35,,1.00
11/1/2024,0.01,-0.17 ,,0.01,175.00,564.00,487.50,,,78.95,81.85,,
11/1/2024,0.01,-0.12 ,,0.01,371.00,2186.00,490.00,,,81.50,84.35,,
11/1/2024,0.01,-0.13 ,,0.01,9.00,202.00,492.50,,,84.00,86.85,,
11/1/2024,0.01,-0.10 ,,0.01,149.00,2214.00,495.00,87.27,26.72 ,86.35,89.35,5.00,4.00
11/1/2024,0.01,-0.05 ,,0.01,1076.00,5431.00,500.00,92.27,26.99 ,91.40,94.15,6.00,1.00
11/1/2024,0.01,-0.05 ,,0.01,19.00,830.00,505.00,97.30,19.90 ,96.40,99.35,2.00,
11/1/2024,0.01,-0.04 ,,0.01,7.00,688.00,510.00,,,101.40,104.35,,
11/1/2024,0.01,-0.03 ,,0.01,31.00,276.00,515.00,,,106.35,109.30,,
11/1/2024,0.01,-0.02 ,,0.01,1.00,183.00,520.00,,,111.45,114.35,,
11/1/2024,0.03,,,0.01,,111.00,525.00,,,116.40,119.35,,
11/1/2024,0.02,,,0.01,,73.00,530.00,,,121.10,124.35,,
11/1/2024,0.02,,,0.01,,155.00,535.00,,,126.35,129.30,,
11/1/2024,0.01,-0.01 ,,0.01,1.00,206.00,540.00,,,131.40,134.35,,
11/1/2024,0.01,,,0.01,,155.00,550.00,,,141.35,144.25,,
11/1/2024,0.01,,,0.01,,124.00,560.00,136.20,,151.15,154.35,,
11/8/2024,194.82,,176.20,179.35,,1.00,230.00,0.01,,,0.42,2.00,3.00
11/8/2024,,,166.20,169.40,,,240.00,,,,0.55,,
11/8/2024,178.05,,155.95,159.00,,1.00,250.00,0.03,,,0.60,,1.00
11/8/2024,168.17,,146.25,149.00,,1.00,260.00,0.01,-0.01 ,,0.62,1.00,5.00
11/8/2024,147.47,,136.25,139.45,,,270.00,,,,0.78,,
11/8/2024,,,126.05,129.05,,,280.00,0.01,-0.01 ,,0.65,317.00,9.00
11/8/2024,132.84,,121.00,124.10,,6.00,285.00,0.01,-0.03 ,,0.42,1.00,5.00
11/8/2024,127.86,,116.05,119.15,,6.00,290.00,0.03,,,0.42,,12.00
11/8/2024,122.88,,111.30,114.20,,6.00,295.00,0.03,,,0.81,,8.00
11/8/2024,130.46,,106.30,109.25,,9.00,300.00,0.05,0.03 ,,0.51,2.00,21.00
11/8/2024,103.48,-22.39 ,101.30,104.00,1.00,13.00,305.00,0.01,-0.01 ,,0.33,87.00,10.00
11/8/2024,120.78,,95.90,99.10,,11.00,310.00,0.03,,,0.28,,40.00
11/8/2024,103.00,,90.95,94.20,,6.00,315.00,0.01,-0.02 ,,0.07,5.00,30.00
11/8/2024,93.81,-18.15 ,86.00,89.20,1.00,13.00,320.00,0.02,-0.01 ,,0.83,31.00,80.00
11/8/2024,110.73,,81.30,84.30,,6.00,325.00,0.03,,,0.03,,32.00
11/8/2024,101.77,,76.10,79.15,,1.00,330.00,0.03,-0.03 ,0.02,0.03,375.00,194.00
11/8/2024,74.46,-8.74 ,71.00,74.15,1.00,7.00,335.00,0.03,-0.01 ,0.02,0.05,271.00,186.00
11/8/2024,79.77,,66.45,69.20,,7.00,340.00,0.05,-0.01 ,0.05,0.06,103.00,234.00
