,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
0,MSFT241018C00210000,2024-09-20 19:35:51+00:00,210.0,227.25,208.3,209.6,0.0,0.0,12.0,29,3.1367209082031247,True,REGULAR,USD,2024-10-18
1,MSFT241018C00220000,2024-10-08 16:08:52+00:00,220.0,194.23,198.3,199.6,0.0,0.0,5.0,3,2.9414088964843748,True,REGULAR,USD,2024-10-18
2,MSFT241018C00230000,2024-08-06 17:22:53+00:00,230.0,176.37,177.8,180.45,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,2024-10-18
3,MSFT241018C00240000,2024-10-11 14:36:55+00:00,240.0,177.44,178.3,179.65,0.0,0.0,3.0,7,2.6113315966796877,True,REGULAR,USD,2024-10-18
4,MSFT241018C00245000,2024-09-04 14:02:59+00:00,245.0,163.6,170.95,171.75,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2024-10-18
5,MSFT241018C00250000,2024-10-15 13:30:09+00:00,250.0,171.88,168.3,169.65,6.9400024,4.207592,3.0,159,2.43750390625,True,REGULAR,USD,2024-10-18
6,MSFT241018C00255000,2024-10-11 16:35:35+00:00,255.0,159.15,163.3,164.65,0.0,0.0,1.0,4,2.3515666210937494,True,REGULAR,USD,2024-10-18
7,MSFT241018C00260000,2024-10-11 17:19:02+00:00,260.0,154.66,158.35,159.65,0.0,0.0,1.0,35,2.2968792578125,True,REGULAR,USD,2024-10-18
8,MSFT241018C00265000,2024-10-08 19:44:40+00:00,265.0,150.3,153.35,154.65,0.0,0.0,5.0,12,2.214848212890624,True,REGULAR,USD,2024-10-18
9,MSFT241018C00270000,2024-09-26 15:55:07+00:00,270.0,162.0,148.35,149.65,0.0,0.0,4.0,61,2.1328171679687498,True,REGULAR,USD,2024-10-18
10,MSFT241018C00275000,2024-10-08 18:13:01+00:00,275.0,138.79,143.35,144.65,0.0,0.0,1.0,21,2.052739243164062,True,REGULAR,USD,2024-10-18
11,MSFT241018C00280000,2024-10-14 18:53:32+00:00,280.0,140.35,138.35,139.7,0.0,0.0,1.0,13,1.998046884765625,True,REGULAR,USD,2024-10-18
12,MSFT241018C00285000,2024-08-30 19:55:00+00:00,285.0,133.55,143.4,145.8,0.0,0.0,1.0,14,4.232670724792481,True,REGULAR,USD,2024-10-18
13,MSFT241018C00290000,2024-10-01 14:33:53+00:00,290.0,131.85,128.35,129.65,0.0,0.0,2.0,28,1.8203133984375,True,REGULAR,USD,2024-10-18
14,MSFT241018C00295000,2024-09-03 19:50:00+00:00,295.0,115.85,122.05,122.8,0.0,0.0,1.0,17,1.0000000000000003e-05,True,REGULAR,USD,2024-10-18
15,MSFT241018C00300000,2024-10-11 16:53:15+00:00,300.0,114.08,118.35,119.7,0.0,0.0,3.0,75,1.69140779296875,True,REGULAR,USD,2024-10-18
16,MSFT241018C00305000,2024-10-11 15:10:30+00:00,305.0,110.85,113.35,114.7,0.0,0.0,1.0,99,1.6171894140625,True,REGULAR,USD,2024-10-18
17,MSFT241018C00310000,2024-10-14 17:59:03+00:00,310.0,110.55,108.35,109.7,0.0,0.0,175.0,265,1.5439475927734374,True,REGULAR,USD,2024-10-18
18,MSFT241018C00315000,2024-10-15 14:49:23+00:00,315.0,101.67,103.35,104.7,-4.130005,-3.9035962,1.0,117,1.4716823291015624,True,REGULAR,USD,2024-10-18
19,MSFT241018C00320000,2024-10-14 15:18:57+00:00,320.0,97.28,98.35,99.7,-3.0200043,-3.0109713,2.0,40,1.400393623046875,True,REGULAR,USD,2024-10-18
20,MSFT241018C00325000,2024-10-14 16:56:05+00:00,325.0,95.5,93.35,94.7,0.0,0.0,1.0,117,1.3291049169921871,True,REGULAR,USD,2024-10-18
21,MSFT241018C00330000,2024-10-15 17:50:35+00:00,330.0,87.88,88.35,89.7,2.9899979,3.5222027,24.0,93,1.259769326171875,True,REGULAR,USD,2024-10-18
